Year,Births,Deaths
1949,19345000,10747000
1950,20232000,9843000
1951,21073000,9923000
1952,21050000,9671000
1953,21511000,8139000
1954,22604000,7846000
1955,19842000,7474000
1956,19825000,7085000
1957,21691000,6884000
1958,19088000,7826000
1959,16504000,9717000
1960,13915000,16964000
1961,11899000,9403000
1962,24640000,6671000
1963,29593000,6851000
1964,27334000,8031000
1965,27091000,6794000
1966,25776000,6494000
1967,25625000,6361000
1968,27565000,6359000
1969,27152000,6392000
1970,27356000,6219000
1971,25780000,6157000
1972,25663000,6560000
1973,24633000,6209000
1974,22347000,6609000
1975,21086000,6708000
1976,18530000,6747000
1977,17860000,6482000
1978,17450000,5976000
1979,17268000,6018000
1980,17868000,6221000
1981,20782000,6321000
1982,21260000,6653000
1983,18996000,7223000
1984,18022000,6890000
1985,21994000,7087000
1986,23928000,7318000
1987,25291000,7285000
1988,24643000,7315000
1989,24140000,7316000
1990,23910000,7570000
1991,22650000,7710000
1992,21250000,7740000
1993,21320000,7820000
1994,21100000,7740000
1995,20630000,7920000
1996,20670000,7990000
1997,20380000,8010000
1998,19420000,8070000
1999,18340000,8090000
2000,17710000,8140000
2001,17020000,8180000
2002,16470000,8210000
2003,15990000,8250000
2004,15930000,8320000
2005,16170000,8490000
2006,15850000,8930000
2007,15940000,9130000
2008,16080000,9350000
2009,15910000,9430000
2010,15920000,9510000
2011,17970000,9600000
2012,19730000,9660000
2013,17760000,9720000
2014,18970000,9770000
2015,16550000,9750000
2016,17860000,9770000
2017,17230000,9860000
2018,15230000,9930000
2019,14650000,9980000
2020,12020000,9970000
2021,10620000,10140000
2022,9560000,10410000
2023,9020000,11100000
2024,9540000,10930000